"IssuerID","State","Plan Type","ReportingUnitID","PlanID","OverallRatingValue","MedicalCareRatingValue","MemberExperienceRatingValue","PlanAdministrationRatingValue","NotRatedReason_OverallRatingDesc","NotRatedReason_MedicalCareRatingDesc","NotRatedReason_MemberExperienceRatingDesc","NotRatedReason_PlanAdministrationRatingDesc"
12379,FL,EPO,12379-FL-EPO,12379FL0010022,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010023,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010024,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010026,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010028,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010029,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010031,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010032,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010033,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010034,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010036,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010038,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010039,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010044,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010046,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010047,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010048,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010050,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010051,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010052,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010053,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010054,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010055,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010056,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010059,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010060,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010061,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
12379,FL,EPO,12379-FL-EPO,12379FL0010062,NR,NR,NR,NR,Not Rated,Not Rated,Not Rated,Not Rated
